City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mfou,CM,70.02,light rain,3.7159,11.6427,Maison Du Juge Noah
1,Miguel Auza,MX,76.8,overcast clouds,24.2933,-103.4503,Hotel Del Centro
4,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
6,Angoche,MZ,76.91,overcast clouds,-16.2325,39.9086,Guest House HESADA
7,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Sao Filipe,CV,75.81,few clouds,14.8961,-24.4956,Hotel Xaguate
11,Jalu,LY,84.31,overcast clouds,29.0331,21.5482,صاحبة الفخامة
12,Barpeta,IN,77.47,light rain,26.3167,91.0,Baba Ka Dhaba Hotel
13,Saint-Pierre,RE,73.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
15,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
17,Bengkulu,ID,77.99,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
19,San Patricio,US,76.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
22,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
25,Yamethin,MM,83.93,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
26,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
30,Faanui,PF,82.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Kupang,ID,75.6,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
35,Kathmandu,NP,70.02,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
36,Luanda,AO,76.77,light rain,-8.8368,13.2343,EPIC SANA Luanda
42,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Villa Bruzual,VE,92.59,overcast clouds,9.3328,-69.1208,hotel italia
44,Carnarvon,AU,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
46,Rikitea,PF,78.15,overcast clouds,-23.1203,-134.9692,People ThankYou
47,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
53,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
55,Bull Savanna,JM,77.5,overcast clouds,17.8868,-77.5902,Big Red's
62,Boca Do Acre,BR,89.6,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
68,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
71,Castro,BR,77.34,heavy intensity rain,-24.7911,-50.0119,CHACARA BAILLY
76,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
78,Mar Del Plata,AR,71.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Yantzaza,EC,79.68,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
