City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mfou,CM,3.7159,11.6427,70.02,97,100,3.87,light rain
1,Miguel Auza,MX,24.2933,-103.4503,76.8,32,93,12.5,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,100,8.05,fog
3,Albany,US,42.6001,-73.9662,54.25,85,100,1.86,overcast clouds
4,Salalah,OM,17.0151,54.0924,84.29,70,20,4.61,few clouds
5,Harrisonburg,US,38.4496,-78.8689,58.33,91,100,3.44,light rain
6,Angoche,MZ,-16.2325,39.9086,76.91,87,100,7.67,overcast clouds
7,Saint-Philippe,RE,-21.3585,55.7679,73.22,82,37,11.36,light rain
8,Collie,AU,-33.3667,116.15,53.35,79,98,2.44,overcast clouds
9,Sao Filipe,CV,14.8961,-24.4956,75.81,69,20,14.14,few clouds
10,Spirit River,CA,55.7833,-118.8361,50.43,45,100,3.96,overcast clouds
11,Jalu,LY,29.0331,21.5482,84.31,13,86,14.45,overcast clouds
12,Barpeta,IN,26.3167,91.0,77.47,73,0,5.66,light rain
13,Saint-Pierre,RE,-21.3393,55.4781,73.29,73,0,4.61,clear sky
14,Jamestown,US,42.097,-79.2353,47.01,55,100,8.05,overcast clouds
15,Kapaa,US,22.0752,-159.319,76.98,91,100,18.41,moderate rain
16,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,9.22,broken clouds
17,Bengkulu,ID,-3.8004,102.2655,77.99,88,59,4.23,broken clouds
18,Yellowknife,CA,62.456,-114.3525,43.32,52,40,9.22,scattered clouds
19,San Patricio,US,28.017,-97.5169,76.89,59,100,11.43,overcast clouds
20,Chumikan,RU,54.7183,135.315,24.66,92,100,2.37,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,56.77,73,0,1.81,clear sky
22,Atuona,PF,-9.8,-139.0333,78.93,75,24,23.82,light rain
23,Asfi,MA,32.2994,-9.2372,63.28,72,1,15.43,clear sky
24,Dikson,RU,73.5069,80.5464,3.85,98,97,9.08,overcast clouds
25,Yamethin,MM,20.4333,96.15,83.93,50,0,5.44,clear sky
26,Naze,JP,28.3667,129.4833,72.52,85,100,15.1,overcast clouds
27,Shelburne,CA,44.0787,-80.2041,40.91,84,100,8.52,overcast clouds
28,Kemijarvi,FI,66.7131,27.4306,24.44,60,73,7.36,broken clouds
29,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,0,12.66,clear sky
30,Faanui,PF,-16.4833,-151.75,82.54,73,23,20.71,few clouds
31,Westport,US,41.1415,-73.3579,60.78,94,100,12.66,mist
32,Leningradskiy,RU,69.3833,178.4167,7.3,93,67,9.86,broken clouds
33,Kupang,ID,-10.1667,123.5833,75.6,82,100,4.76,overcast clouds
34,Barrow,US,71.2906,-156.7887,8.62,78,100,14.97,overcast clouds
35,Kathmandu,NP,27.7167,85.3167,70.02,49,20,4.61,few clouds
36,Luanda,AO,-8.8368,13.2343,76.77,87,100,6.67,light rain
37,Wencheng,CN,33.0559,113.7978,62.64,78,48,6.44,scattered clouds
38,Busselton,AU,-33.65,115.3333,56.64,87,87,1.5,overcast clouds
39,Longyearbyen,SJ,78.2186,15.6401,1.24,71,40,17.27,scattered clouds
40,Bluff,NZ,-46.6,168.3333,51.8,80,71,8.63,broken clouds
41,Hermanus,ZA,-34.4187,19.2345,58.28,75,0,8.32,clear sky
42,Souillac,MU,-20.5167,57.5167,75.58,88,75,10.36,light rain
43,Villa Bruzual,VE,9.3328,-69.1208,92.59,43,97,3.53,overcast clouds
44,Carnarvon,AU,-24.8667,113.6333,71.67,53,40,21.85,scattered clouds
45,Polohy,UA,47.4844,36.2536,57.45,65,100,7.36,overcast clouds
46,Rikitea,PF,-23.1203,-134.9692,78.15,74,100,22.57,overcast clouds
47,Puerto Escondido,MX,15.85,-97.0667,86.83,66,20,8.05,few clouds
48,Ushuaia,AR,-54.8,-68.3,40.66,75,75,5.75,light intensity drizzle
49,Yaan,NG,7.3833,8.5667,85.59,54,55,7.38,broken clouds
50,Pevek,RU,69.7008,170.3133,25.59,71,100,8.7,overcast clouds
51,Konya,TR,38.1667,32.5,60.28,27,52,7.14,broken clouds
52,Bereda,ES,43.2686,-7.5406,53.58,100,100,1.79,light rain
53,Avarua,CK,-21.2078,-159.775,80.65,89,20,3.44,few clouds
54,Erzin,TR,36.9559,36.2,63.93,53,0,1.54,clear sky
55,Bull Savanna,JM,17.8868,-77.5902,77.5,74,97,7.0,overcast clouds
56,Szamotuly,PL,52.612,16.5779,55.98,63,97,2.3,overcast clouds
57,Adeje,ES,28.1227,-16.726,66.16,62,75,18.41,broken clouds
58,Lebu,CL,-37.6167,-73.65,52.29,80,6,9.82,clear sky
59,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,9.22,broken clouds
60,Mataura,NZ,-46.1927,168.8643,51.48,99,89,1.99,overcast clouds
61,Usinsk,RU,65.9939,57.5281,36.86,95,100,19.22,light rain
62,Boca Do Acre,BR,-8.7522,-67.3978,89.6,57,71,0.34,broken clouds
63,Norman Wells,CA,65.282,-126.8329,41.04,56,40,10.36,scattered clouds
64,Port Alfred,ZA,-33.5906,26.891,58.17,91,6,4.0,clear sky
65,Sungaipenuh,ID,-2.0833,101.3833,65.86,92,100,1.01,overcast clouds
66,Ostrovnoy,RU,68.0531,39.5131,17.6,69,3,16.28,clear sky
67,Saskylakh,RU,71.9167,114.0833,-3.46,98,98,3.33,overcast clouds
68,Vaini,TO,-21.2,-175.2,73.56,78,20,9.22,few clouds
69,Jiuquan,CN,39.7432,98.5174,47.97,39,100,9.57,overcast clouds
70,Narsaq,GL,60.9167,-46.05,43.02,74,99,0.85,overcast clouds
71,Castro,BR,-24.7911,-50.0119,77.34,64,26,4.99,heavy intensity rain
72,Ponta Do Sol,PT,32.6667,-17.1,67.01,72,35,4.59,scattered clouds
73,Vardo,NO,70.3705,31.1107,17.58,86,75,32.21,mist
74,Bara,NG,10.3744,10.7288,94.64,28,97,7.78,overcast clouds
75,Provideniya,RU,64.3833,-173.3,28.96,81,44,8.66,scattered clouds
76,Galesong,ID,-5.3166,119.3661,77.02,83,100,4.94,overcast clouds
77,New Norfolk,AU,-42.7826,147.0587,48.7,89,100,2.08,overcast clouds
78,Mar Del Plata,AR,-38.0023,-57.5575,71.62,89,75,16.11,broken clouds
79,Sagone,FR,42.1155,8.6969,61.27,70,6,4.74,clear sky
80,Yantzaza,EC,-3.8278,-78.7594,79.68,73,99,1.95,light rain
81,Guerrero Negro,MX,27.9769,-114.0611,76.84,36,7,14.56,clear sky
